Date,Open,High,Low,Close,Adj Close,Volume
2022-10-17,1540.000000,1563.650024,1534.079956,1541.979980,1541.979980,289400
2022-10-18,1582.670044,1588.099976,1524.760010,1543.989990,1543.989990,302600
2022-10-19,1539.109985,1554.229980,1513.239990,1527.209961,1527.209961,251500
2022-10-20,1531.079956,1547.000000,1523.010010,1536.199951,1536.199951,238300
2022-10-21,1536.030029,1551.410034,1508.640015,1549.819946,1549.819946,364600
2022-10-24,1560.000000,1563.229980,1538.849976,1545.839966,1545.839966,387300
2022-10-25,1561.000000,1591.430054,1552.500000,1584.020020,1584.020020,668800
2022-10-26,1532.410034,1558.819946,1474.729980,1476.030029,1476.030029,1021800
2022-10-27,1490.189941,1490.189941,1449.670044,1466.939941,1466.939941,534100
2022-10-28,1466.410034,1505.599976,1446.670044,1505.000000,1505.000000,384800
2022-10-31,1507.410034,1521.780029,1492.569946,1498.329956,1498.329956,297400
2022-11-01,1511.510010,1516.000000,1477.719971,1477.719971,1477.719971,286100
2022-11-02,1481.369995,1482.630005,1407.239990,1407.979980,1407.979980,529500
2022-11-03,1403.729980,1413.550049,1385.000000,1391.869995,1391.869995,385500
2022-11-04,1415.589966,1415.589966,1366.530029,1397.569946,1397.569946,256200
2022-11-07,1404.359985,1405.260010,1379.060059,1396.369995,1396.369995,247000
2022-11-08,1392.439941,1406.910034,1380.189941,1389.640015,1389.640015,281800
2022-11-09,1384.900024,1386.709961,1360.300049,1375.819946,1375.819946,236200
2022-11-10,1437.079956,1472.750000,1404.109985,1470.920044,1470.920044,400600
2022-11-11,1483.800049,1523.880005,1465.000000,1506.349976,1506.349976,443700
2022-11-14,1503.589966,1539.430054,1496.280029,1513.119995,1513.119995,264400
2022-11-15,1555.000000,1561.260010,1516.760010,1523.469971,1523.469971,283900
2022-11-16,1520.000000,1538.839966,1516.040039,1526.550049,1526.550049,197900
2022-11-17,1497.280029,1519.939941,1490.000000,1493.829956,1493.829956,225300
2022-11-18,1515.619995,1516.500000,1488.430054,1502.479980,1502.479980,201200
2022-11-21,1495.000000,1499.089966,1476.400024,1494.390015,1494.390015,190600
2022-11-22,1502.000000,1507.209961,1472.209961,1505.900024,1505.900024,197300
2022-11-23,1507.859985,1518.579956,1501.020020,1508.829956,1508.829956,145600
2022-11-25,1508.770020,1519.189941,1502.209961,1515.199951,1515.199951,87500
2022-11-28,1515.199951,1533.890015,1512.099976,1527.560059,1527.560059,161100
2022-11-29,1520.569946,1562.709961,1520.569946,1552.719971,1552.719971,260000
2022-11-30,1561.000000,1634.739990,1553.000000,1626.959961,1626.959961,458900
2022-12-01,1625.010010,1638.329956,1611.000000,1625.829956,1625.829956,296300
2022-12-02,1615.810059,1620.790039,1597.209961,1604.880005,1604.880005,288100
2022-12-05,1594.160034,1596.079956,1557.910034,1570.609985,1570.609985,242300
2022-12-06,1569.739990,1572.000000,1505.010010,1508.400024,1508.400024,460700
2022-12-07,1505.000000,1526.219971,1489.699951,1509.459961,1509.459961,286200
2022-12-08,1516.000000,1537.469971,1512.000000,1531.000000,1531.000000,202000
2022-12-09,1531.000000,1543.729980,1526.260010,1526.260010,1526.260010,172500
2022-12-12,1517.609985,1565.459961,1517.609985,1561.199951,1561.199951,261200
2022-12-13,1610.050049,1614.670044,1545.790039,1548.319946,1548.319946,239700
2022-12-14,1544.619995,1559.859985,1519.010010,1538.290039,1538.290039,223200
2022-12-15,1518.400024,1518.400024,1478.310059,1487.530029,1487.530029,288600
2022-12-16,1471.439941,1485.469971,1449.479980,1462.109985,1462.109985,400400
2022-12-19,1450.660034,1463.040039,1409.229980,1414.979980,1414.979980,302300
2022-12-20,1407.949951,1439.449951,1399.819946,1428.380005,1428.380005,290600
2022-12-21,1431.949951,1449.380005,1420.640015,1425.189941,1425.189941,222300
2022-12-22,1409.040039,1413.459961,1388.219971,1407.800049,1407.800049,241600
2022-12-23,1400.280029,1417.390015,1385.010010,1412.359985,1412.359985,210000
2022-12-27,1413.849976,1416.410034,1396.300049,1398.000000,1398.000000,168100
2022-12-28,1395.520020,1404.959961,1376.640015,1378.280029,1378.280029,193700
2022-12-29,1391.750000,1418.410034,1384.839966,1404.949951,1404.949951,256400
2022-12-30,1394.000000,1394.680054,1371.229980,1387.489990,1387.489990,225000
2023-01-03,1400.300049,1403.410034,1358.030029,1371.130005,1371.130005,321300
2023-01-04,1386.520020,1388.550049,1364.849976,1376.050049,1376.050049,270100
2023-01-05,1364.660034,1373.520020,1344.050049,1364.160034,1364.160034,258400
2023-01-06,1372.109985,1406.839966,1365.119995,1402.060059,1402.060059,284800
2023-01-09,1415.589966,1451.609985,1414.010010,1446.739990,1446.739990,361900
2023-01-10,1450.000000,1465.020020,1430.500000,1451.430054,1451.430054,203300
2023-01-11,1462.000000,1480.670044,1459.160034,1479.209961,1479.209961,246700
2023-01-12,1487.579956,1515.949951,1478.400024,1512.469971,1512.469971,278800
2023-01-13,1503.890015,1525.439941,1498.089966,1524.569946,1524.569946,290000
2023-01-17,1514.989990,1553.979980,1506.560059,1551.540039,1551.540039,334400
2023-01-18,1558.689941,1573.739990,1510.339966,1512.040039,1512.040039,229600
2023-01-19,1490.699951,1510.449951,1490.699951,1504.140015,1504.140015,166300
2023-01-20,1518.939941,1563.930054,1509.119995,1555.189941,1555.189941,290900
2023-01-23,1552.050049,1599.439941,1551.890015,1597.349976,1597.349976,333800
2023-01-24,1596.000000,1616.449951,1584.550049,1595.089966,1595.089966,229600
2023-01-25,1563.079956,1578.140015,1548.579956,1563.979980,1563.979980,359800
2023-01-26,1583.069946,1618.290039,1580.000000,1606.290039,1606.290039,311500
2023-01-27,1610.000000,1629.910034,1599.089966,1613.780029,1613.780029,251500
2023-01-30,1603.339966,1627.900024,1601.750000,1609.859985,1609.859985,277000
2023-01-31,1616.770020,1648.969971,1609.959961,1646.380005,1646.380005,274700
2023-02-01,1646.609985,1667.900024,1617.150024,1652.560059,1652.560059,278700
2023-02-02,1675.099976,1703.619995,1666.030029,1689.670044,1689.670044,322800
2023-02-03,1677.250000,1712.880005,1670.000000,1692.969971,1692.969971,305600
2023-02-06,1689.680054,1700.890015,1677.949951,1700.280029,1700.280029,305500
2023-02-07,1688.479980,1724.709961,1680.079956,1722.859985,1722.859985,649900
2023-02-08,1643.000000,1669.449951,1616.819946,1637.410034,1637.410034,705200
2023-02-09,1640.000000,1650.170044,1597.199951,1606.910034,1606.910034,432300
2023-02-10,1589.390015,1598.989990,1573.079956,1583.890015,1583.890015,365300
2023-02-13,1589.400024,1629.979980,1584.349976,1614.310059,1614.310059,334800
2023-02-14,1612.550049,1651.219971,1602.430054,1644.520020,1644.520020,271200
2023-02-15,1650.000000,1664.239990,1636.900024,1656.540039,1656.540039,244200
2023-02-16,1642.459961,1653.680054,1620.380005,1621.239990,1621.239990,225600
2023-02-17,1609.739990,1625.189941,1602.599976,1617.670044,1617.670044,228600
2023-02-21,1611.750000,1611.750000,1565.780029,1569.260010,1569.260010,272200
2023-02-22,1568.459961,1580.000000,1546.939941,1552.380005,1552.380005,250600
2023-02-23,1557.010010,1557.010010,1519.910034,1522.489990,1522.489990,312300
2023-02-24,1498.000000,1503.510010,1470.290039,1476.729980,1476.729980,383500
2023-02-27,1490.000000,1504.930054,1488.199951,1494.750000,1494.750000,277500
2023-02-28,1491.560059,1504.349976,1485.010010,1491.079956,1491.079956,234400
2023-03-01,1483.000000,1498.040039,1478.560059,1484.770020,1484.770020,165400
2023-03-02,1475.000000,1502.579956,1470.050049,1495.270020,1495.270020,173200
2023-03-03,1500.000000,1514.099976,1494.069946,1510.000000,1510.000000,239300
2023-03-06,1520.000000,1528.329956,1500.530029,1505.130005,1505.130005,240800
2023-03-07,1504.459961,1525.640015,1502.170044,1509.680054,1509.680054,187300
2023-03-08,1510.000000,1536.530029,1502.250000,1533.060059,1533.060059,277700
2023-03-09,1536.329956,1578.380005,1536.260010,1551.099976,1551.099976,362300
2023-03-10,1554.310059,1582.989990,1541.660034,1550.709961,1550.709961,349300
2023-03-13,1537.369995,1582.609985,1537.079956,1566.339966,1566.339966,266400
2023-03-14,1586.989990,1599.000000,1576.099976,1590.760010,1590.760010,278000
2023-03-15,1583.500000,1594.930054,1569.000000,1590.869995,1590.869995,248700
2023-03-16,1598.010010,1637.729980,1592.859985,1625.140015,1625.140015,348900
2023-03-17,1624.589966,1631.250000,1593.609985,1608.839966,1608.839966,329700
2023-03-20,1604.800049,1615.000000,1592.300049,1610.229980,1610.229980,259500
2023-03-21,1617.119995,1629.439941,1614.430054,1627.959961,1627.959961,209700
2023-03-22,1624.430054,1661.439941,1620.020020,1622.469971,1622.469971,230500
2023-03-23,1637.000000,1661.000000,1620.410034,1632.530029,1632.530029,200600
2023-03-24,1636.010010,1640.709961,1609.130005,1624.250000,1624.250000,228400
2023-03-27,1628.900024,1662.589966,1628.900024,1647.819946,1647.819946,240600
2023-03-28,1644.719971,1656.099976,1633.709961,1652.900024,1652.900024,162200
2023-03-29,1657.579956,1663.760010,1645.030029,1656.719971,1656.719971,177200
2023-03-30,1657.939941,1682.939941,1657.939941,1672.170044,1672.170044,215200
2023-03-31,1677.790039,1709.000000,1677.790039,1708.290039,1708.290039,286400
2023-04-03,1695.000000,1719.989990,1695.000000,1717.729980,1717.729980,245800
2023-04-04,1729.000000,1742.969971,1722.739990,1734.839966,1734.839966,294900
2023-04-05,1731.000000,1731.000000,1695.349976,1697.420044,1697.420044,239000
2023-04-06,1687.260010,1695.359985,1670.030029,1685.209961,1685.209961,217700
2023-04-10,1675.000000,1691.589966,1664.719971,1691.560059,1691.560059,248800
2023-04-11,1693.880005,1724.489990,1693.880005,1714.060059,1714.060059,227600
2023-04-12,1730.000000,1733.229980,1693.900024,1695.770020,1695.770020,198800
2023-04-13,1712.430054,1725.000000,1706.140015,1717.890015,1717.890015,216300
2023-04-14,1717.780029,1741.949951,1717.449951,1738.300049,1738.300049,221900
2023-04-17,1748.000000,1775.250000,1738.660034,1775.000000,1775.000000,331300
2023-04-18,1783.000000,1798.020020,1775.359985,1778.459961,1778.459961,290500
2023-04-19,1785.719971,1809.660034,1779.869995,1805.000000,1805.000000,276700
2023-04-20,1802.400024,1816.699951,1792.410034,1798.400024,1798.400024,287100
2023-04-21,1805.150024,1808.000000,1780.900024,1800.000000,1800.000000,304800
2023-04-24,1812.790039,1812.790039,1792.770020,1796.969971,1796.969971,261500
2023-04-25,1796.000000,1816.959961,1780.000000,1780.000000,1780.000000,454600
2023-04-26,1918.020020,2047.310059,1918.020020,2009.849976,2009.849976,1630100
2023-04-27,2025.900024,2038.000000,1996.119995,2036.260010,2036.260010,482800
2023-04-28,2031.130005,2071.000000,2026.089966,2067.620117,2067.620117,411000
2023-05-01,2055.000000,2077.290039,2037.109985,2039.280029,2039.280029,503000
2023-05-02,2042.839966,2058.879883,2025.790039,2053.959961,2053.959961,294600
2023-05-03,2054.080078,2066.709961,2047.119995,2058.120117,2058.120117,279800
2023-05-04,2058.469971,2062.330078,2028.640015,2033.510010,2033.510010,228800
